Goal/target,Indicator name,indicator_type,indic_id,indicator_name
Target 14,"Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it].",Binary,GBF_H_T14_38,"Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it]."
Target 15,"Number of companies disclosing their biodiversity-related risks, dependencies and impacts",Headline,GBF_H_T15_39,"Number of companies disclosing their biodiversity-related risks, dependencies and impacts"
Target 15,"Number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production.",Binary,GBF_H_T15_40,"Number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production."
Target 16,"Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices.",Binary,GBF_H_T16_41,"Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices."
Target 17,Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19.,Binary,GBF_H_T17_42,Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19.
Target 18,Positive incentives in place to promote biodiversity conservation and sustainable use,Headline,GBF_H_T18_43,Positive incentives in place to promote biodiversity conservation and sustainable use
Target 18,Value of subsidies and other incentives harmful to biodiversity,Headline,GBF_H_T18_44,Value of subsidies and other incentives harmful to biodiversity
Target 19,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",Headline,GBF_H_T19_45,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems"
Target 19,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,Headline,GBF_H_T19_46,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems
Target 19,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,Headline,GBF_H_T19_47,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems
Target 20,"Number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation.",Binary,GBF_H_T20_48,"Number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation."
Target 21,Indicator on biodiversity information for monitoring the global biodiversity framework,Headline,GBF_H_T21_49,Indicator on biodiversity information for monitoring the global biodiversity framework
Target 22,"Number of countries [promoting the full, equitable, inclusive, effective and gender-responsive representation and participation] and [recognizing the rights of indigenous peoples and local communities with respect to their traditional territories, cultures and practices as well as the rights of environmental human rights defenders, women, youth, and persons with disabilities] [ensuring representation and participation in decision-making and access to justice and information in relation with biodiversity and ensuring the legal rights of indigenous peoples and local communities, including respecting their rights over lands, territories, resources and traditional knowledge, women and girls, children and youth and persons with disabilities, and ensuring the full protection of human rights of environmental defenders.]",Binary,GBF_H_T22_50,"Number of countries [promoting the full, equitable, inclusive, effective and gender-responsive representation and participation] and [recognizing the rights of indigenous peoples and local communities with respect to their traditional territories, cultures and practices as well as the rights of environmental human rights defenders, women, youth, and persons with disabilities] [ensuring representation and participation in decision-making and access to justice and information in relation with biodiversity and ensuring the legal rights of indigenous peoples and local communities, including respecting their rights over lands, territories, resources and traditional knowledge, women and girls, children and youth and persons with disabilities, and ensuring the full protection of human rights of environmental defenders.]"
Target 23,"Number of countries with legal, administrative or policy frameworks, including the Gender Plan of Action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources.",Binary,GBF_H_T23_51,"Number of countries with legal, administrative or policy frameworks, including the Gender Plan of Action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources."
Goal A,Ecosystem Intactness Index,component,GBF_C_GA_1,Ecosystem Intactness Index
Goal A,Ecosystem Integrity Index,component,GBF_C_GA_2,Ecosystem Integrity Index
Goal A,Species habitat Index,component,GBF_C_GA_3,Species habitat Index
Goal A,Biodiversity Habitat Index,component,GBF_C_GA_4,Biodiversity Habitat Index
Goal A,Protected Connected (Protconn) index,component,GBF_C_GA_5,Protected Connected (Protconn) index
Goal A,Protected Area Connectedness Index (PARC-Connectedness),component,GBF_C_GA_6,Protected Area Connectedness Index (PARC-Connectedness)
Goal A,Evolutionarily Distinct and Globally Endangered (EDGE),component,GBF_C_GA_7,Evolutionarily Distinct and Globally Endangered (EDGE)
Goal A,Living Planet Index,component,GBF_C_GA_8,Living Planet Index
Goal A,Change in the extent of water-related ecosystems over time,component,GBF_C_GA_9,Change in the extent of water-related ecosystems over time
Goal B,Red List Index (for utilized species),component,GBF_C_GB_10,Red List Index (for utilized species)
Goal B,Living Planet Index (for used species),component,GBF_C_GB_11,Living Planet Index (for used species)
Goal C,None adopted,component,GBF_C_GC_12,
Goal D,None adopted,component,GBF_C_GD_13,
Target 1,Priority retention of intact / wilderness areas,component,GBF_C_T1_14,Priority retention of intact / wilderness areas
Target 2,Extent of natural ecosystems by type,component,GBF_C_T2_15,Extent of natural ecosystems by type
Target 2,Maintenance and restoration of connectivity of natural ecosystems,component,GBF_C_T2_16,Maintenance and restoration of connectivity of natural ecosystems
Target 3,Protected area coverage of key biodiversity areas,component,GBF_C_T3_17,Protected area coverage of key biodiversity areas
Target 3,Protected Area Management Effectiveness (PAME),component,GBF_C_T3_18,Protected Area Management Effectiveness (PAME)
Target 3,Protconn,component,GBF_C_T3_19,Protconn
Target 3,Protected Area Connectedness Index (PARC-Connectedness),component,GBF_C_T3_20,Protected Area Connectedness Index (PARC-Connectedness)
Target 3,Red List of Ecosystems,component,GBF_C_T3_21,Red List of Ecosystems
Target 3,Connectivity Indicator (in development),component,GBF_C_T3_22,Connectivity Indicator (in development)
Target 3,The number of protected areas that have completed a site-level assessment of governance and equity (SAGE),component,GBF_C_T3_23,The number of protected areas that have completed a site-level assessment of governance and equity (SAGE)
Target 3,Species Protection Index,component,GBF_C_T3_24,Species Protection Index
Target 4,Living Planet Index,component,GBF_C_T4_25,Living Planet Index
Target 4,Number of plant and animal genetic resources secured in medium or long-term conservation facilities,component,GBF_C_T4_26,Number of plant and animal genetic resources secured in medium or long-term conservation facilities
Target 4,Trends in effective and sustainable management of human-wildlife conflict and coexistence,component,GBF_C_T4_27,Trends in effective and sustainable management of human-wildlife conflict and coexistence
Target 4,Green Status of Species Index,component,GBF_C_T4_28,Green Status of Species Index
Target 4,Conservation status of species listed in the CITES Appendices has stabilized or improved,component,GBF_C_T4_29,Conservation status of species listed in the CITES Appendices has stabilized or improved
Target 5,Red List Index for used species,component,GBF_C_T5_30,Red List Index for used species
Target 5,Living Planet Index for used species,component,GBF_C_T5_31,Living Planet Index for used species
Target 5,Sustainable use of Wild Species,component,GBF_C_T5_32,Sustainable use of Wild Species
Target 6,Rate of invasive species impact and rate of impact,component,GBF_C_T6_33,Rate of invasive species impact and rate of impact
Target 6,Rate of invasive alien species spread,component,GBF_C_T6_34,Rate of invasive alien species spread
Target 6,Number of invasive alien species introduction events,component,GBF_C_T6_35,Number of invasive alien species introduction events
Target 7,Fertilizer use,component,GBF_C_T7_36,Fertilizer use
Target 7,Proportion of domestic and industrial wastewater flow safely treated,component,GBF_C_T7_37,Proportion of domestic and industrial wastewater flow safely treated
Target 7,Floating plastic debris density [by micro and macro plastics],component,GBF_C_T7_38,Floating plastic debris density [by micro and macro plastics]
Target 7,Red List Index (impact of pollution),component,GBF_C_T7_39,Red List Index (impact of pollution)
Target 8,Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts),component,GBF_C_T8_40,Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts)
Target 8,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity,component,GBF_C_T8_41,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity
Target 8,National greenhouse inventories from land use and land use change,component,GBF_C_T8_42,National greenhouse inventories from land use and land use change
Target 8,Bioclimatic Ecosystem Resilience Index (BERI),component,GBF_C_T8_43,Bioclimatic Ecosystem Resilience Index (BERI)
Target 9,"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",component,GBF_C_T9_44,"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)"
Target 9,Red List Index (species used for food and medicine),component,GBF_C_T9_45,Red List Index (species used for food and medicine)
Target 9,Living Planet Index (for used species),component,GBF_C_T9_46,Living Planet Index (for used species)
Target 10,Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification,component,GBF_C_T10_47,Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification
Target 10,"Average income of small-scale food producers, by sex and indigenous status",component,GBF_C_T10_48,"Average income of small-scale food producers, by sex and indigenous status"
Target 11,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",component,GBF_C_T11_49,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
Target 11,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",component,GBF_C_T11_50,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)"
Target 11,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities,component,GBF_C_T11_51,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities
Target 11,Proportion of bodies of water with good ambient water quality,component,GBF_C_T11_52,Proportion of bodies of water with good ambient water quality
Target 11,Level of water stress,component,GBF_C_T11_53,Level of water stress
Target 12,Recreation and cultural ecosystem services provided,component,GBF_C_T12_54,Recreation and cultural ecosystem services provided
Target 13,Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,component,GBF_C_T13_55,Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit
Target 14,Number of countries with Implementation of the System of Environmental Economic Accounting,component,GBF_C_T14_56,Number of countries with Implementation of the System of Environmental Economic Accounting
Target 15,Indicator based on Task Force for Naturerelated Financial Disclosures,component,GBF_C_T15_57,Indicator based on Task Force for Naturerelated Financial Disclosures
Target 16,Food waste index,component,GBF_C_T16_58,Food waste index
Target 16,Material footprint per capita,component,GBF_C_T16_59,Material footprint per capita
Target 16,Global environmental impacts of consumption,component,GBF_C_T16_60,Global environmental impacts of consumption
Target 16,Ecological footprint,component,GBF_C_T16_61,Ecological footprint
Target 17,None adopted,component,GBF_C_T17_62,
Target 18,"Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",component,GBF_C_T18_63,"Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated"
Target 19,None adopted,component,GBF_C_T19_64,
Target 20,None adopted,component,GBF_C_T20_65,
Target 21,Species status index,component,GBF_C_T21_66,Species status index
Target 21,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",component,GBF_C_T21_67,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments"
Target 22,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",component,GBF_C_T22_68,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure"
Target 23,Proportion of seats held by women in (a) national parliaments and (b) local governments,component,GBF_C_T23_69,Proportion of seats held by women in (a) national parliaments and (b) local governments
Target 23,Indicator on national implementation of the Gender Plan of Action 2023-2030,component,GBF_C_T23_70,Indicator on national implementation of the Gender Plan of Action 2023-2030
Target 23,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",component,GBF_C_T23_71,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure"
Goal A,Forest area as a proportion of total land area,complementary,GBF_CY_GA_1,Forest area as a proportion of total land area
Goal A,Forest distribution,complementary,GBF_CY_GA_2,Forest distribution
Goal A,"Tree cover loss
",complementary,GBF_CY_GA_3,"Tree cover loss
"
Goal A,Grassland and savannah extent,complementary,GBF_CY_GA_4,Grassland and savannah extent
Goal A,"Mountain Green Cover Index
",complementary,GBF_CY_GA_5,"Mountain Green Cover Index
"
Goal A,"Peatland extent and condition
",complementary,GBF_CY_GA_6,"Peatland extent and condition
"
Goal A,"Permafrost thickness, depth and extent
",complementary,GBF_CY_GA_7,"Permafrost thickness, depth and extent
"
Goal A,"Continuous Global Mangrove Forest Cover
",complementary,GBF_CY_GA_8,"Continuous Global Mangrove Forest Cover
"
Goal A,"Trends in mangrove forest fragmentation
",complementary,GBF_CY_GA_9,"Trends in mangrove forest fragmentation
"
Goal A,"Trends in mangrove extent
",complementary,GBF_CY_GA_10,"Trends in mangrove extent
"
Goal A,"Live coral cover 
",complementary,GBF_CY_GA_11,"Live coral cover 
"
Goal A,"Hard coral cover and composition 
",complementary,GBF_CY_GA_12,"Hard coral cover and composition 
"
Goal A,"Global coral reef extent 
",complementary,GBF_CY_GA_13,"Global coral reef extent 
"
Goal A,Global Seagrass Extent (Seagrass Cover and composition),complementary,GBF_CY_GA_14,Global Seagrass Extent (Seagrass Cover and composition)
Goal A,"Global saltmarsh extent
",complementary,GBF_CY_GA_15,"Global saltmarsh extent
"
Goal A,"Kelp canopy extent
",complementary,GBF_CY_GA_16,"Kelp canopy extent
"
Goal A,"Macroalgal Canopy Cover and Composition
",complementary,GBF_CY_GA_17,"Macroalgal Canopy Cover and Composition
"
Goal A,"Cover of key benthic groups
",complementary,GBF_CY_GA_18,"Cover of key benthic groups
"
Goal A,"Fleshy algae cover
",complementary,GBF_CY_GA_19,"Fleshy algae cover
"
Goal A,"Wetland Extent Trends Index
",complementary,GBF_CY_GA_20,"Wetland Extent Trends Index
"
Goal A,Change in the extent of inland water ecosystems over time,complementary,GBF_CY_GA_21,Change in the extent of inland water ecosystems over time
Goal A,"Forest Fragmentation Index
",complementary,GBF_CY_GA_22,"Forest Fragmentation Index
"
Goal A,"Forest Landscape Integrity Index
",complementary,GBF_CY_GA_23,"Forest Landscape Integrity Index
"
Goal A,"Biomass of selected natural ecosystems 
",complementary,GBF_CY_GA_24,"Biomass of selected natural ecosystems 
"
Goal A,Biodiversity Habitat Index,complementary,GBF_CY_GA_25,Biodiversity Habitat Index
Goal A,"Global Vegetation Health Products
",complementary,GBF_CY_GA_26,"Global Vegetation Health Products
"
Goal A,Bioclimatic Ecosystem Resilience Index (BERI),complementary,GBF_CY_GA_27,Bioclimatic Ecosystem Resilience Index (BERI)
Goal A,"Relative Magnitude of Fragmentation (RMF) 
",complementary,GBF_CY_GA_28,"Relative Magnitude of Fragmentation (RMF) 
"
Goal A,"Ecosystem Intactness Index
",complementary,GBF_CY_GA_29,"Ecosystem Intactness Index
"
Goal A,"Biodiversity Intactness Index 
",complementary,GBF_CY_GA_30,"Biodiversity Intactness Index 
"
Goal A,"Ocean Health Index 
",complementary,GBF_CY_GA_31,"Ocean Health Index 
"
Goal A,Extent of physical damage indicator to predominant seafloor habitats physical damage,complementary,GBF_CY_GA_32,Extent of physical damage indicator to predominant seafloor habitats physical damage
Goal A,River Fragmentation Index,complementary,GBF_CY_GA_33,River Fragmentation Index
Goal A,Dendritic Connectivity Index,complementary,GBF_CY_GA_34,Dendritic Connectivity Index
Goal A,Percentage of threatened species that are improving in status according to the Red List,complementary,GBF_CY_GA_35,Percentage of threatened species that are improving in status according to the Red List
Goal A,Number of threatened species by species group,complementary,GBF_CY_GA_36,Number of threatened species by species group
Goal A,Wild bird index,complementary,GBF_CY_GA_37,Wild bird index
Goal A,Mean Species Abundance (MSA),complementary,GBF_CY_GA_38,Mean Species Abundance (MSA)
Goal A,Species Protection Index,complementary,GBF_CY_GA_39,Species Protection Index
Goal A,Changes in plankton biomass and abundance,complementary,GBF_CY_GA_40,Changes in plankton biomass and abundance
Goal A,Fish abundance and biomass,complementary,GBF_CY_GA_41,Fish abundance and biomass
Goal A,Genetic scorecard for wild species,complementary,GBF_CY_GA_42,Genetic scorecard for wild species
Goal A,Species richness/Changes in local terrestrial diversity (PREDICTS),complementary,GBF_CY_GA_43,Species richness/Changes in local terrestrial diversity (PREDICTS)
Goal A,"Marine species richness 
",complementary,GBF_CY_GA_44,"Marine species richness 
"
Goal A,Comprehensiveness of conservation of socioeconomically as well as culturally valuable species.,complementary,GBF_CY_GA_45,Comprehensiveness of conservation of socioeconomically as well as culturally valuable species.
Goal A,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,complementary,GBF_CY_GA_46,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities
Goal A,Proportion of local breeds classified as being at risk extinction,complementary,GBF_CY_GA_47,Proportion of local breeds classified as being at risk extinction
Goal A,Red List Index (wild relatives of domesticated animals),complementary,GBF_CY_GA_48,Red List Index (wild relatives of domesticated animals)
Goal A,CMS Connectivity Indicator,complementary,GBF_CY_GA_49,CMS Connectivity Indicator
Goal A,Species Status Index,complementary,GBF_CY_GA_50,Species Status Index
Goal A,"Intact Wilderness 
",complementary,GBF_CY_GA_51,"Intact Wilderness 
"
Goal A,Expected Loss of Phylogenetic diversity,complementary,GBF_CY_GA_52,Expected Loss of Phylogenetic diversity
Goal A,Proportion of populations maintained within species,complementary,GBF_CY_GA_53,Proportion of populations maintained within species
Goal A,Free flowing rivers,complementary,GBF_CY_GA_54,Free flowing rivers
Goal B,Levels of poverty in biodiversity depended communities,complementary,GBF_CY_GB_55,Levels of poverty in biodiversity depended communities
Goal B,Ecological footprint,complementary,GBF_CY_GB_56,Ecological footprint
Goal B,Number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,complementary,GBF_CY_GB_57,Number of certified forest areas under sustainable management with verified impacts on biodiversity conservation
Goal B,Expected loss of Phylogenetic Diversity,complementary,GBF_CY_GB_58,Expected loss of Phylogenetic Diversity
Goal B,Red List Index (pollinating species),complementary,GBF_CY_GB_59,Red List Index (pollinating species)
Goal B,Green status index (pollinators),complementary,GBF_CY_GB_60,Green status index (pollinators)
Goal B,Air quality index,complementary,GBF_CY_GB_61,Air quality index
Goal B,Air pollution emissions account,complementary,GBF_CY_GB_62,Air pollution emissions account
Goal B,Zoonotic disease in wildlife,complementary,GBF_CY_GB_63,Zoonotic disease in wildlife
Goal B,Climatic impact index,complementary,GBF_CY_GB_64,Climatic impact index
Goal B,Ocean acidification,complementary,GBF_CY_GB_65,Ocean acidification
Goal B,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,complementary,GBF_CY_GB_66,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
Goal B,Proportion of bodies of water with good ambient water quality,complementary,GBF_CY_GB_67,Proportion of bodies of water with good ambient water quality
Goal B,Eflow index,complementary,GBF_CY_GB_68,Eflow index
Goal B,Change in the quality of inland water ecosystems over time,complementary,GBF_CY_GB_69,Change in the quality of inland water ecosystems over time
Goal B,Change in the quality of coastal water ecosystems over time,complementary,GBF_CY_GB_70,Change in the quality of coastal water ecosystems over time
Goal B,Level of erosion,complementary,GBF_CY_GB_71,Level of erosion
Goal B,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",complementary,GBF_CY_GB_72,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
Goal B,Intact wilderness,complementary,GBF_CY_GB_73,Intact wilderness
Goal B,Biofuel production,complementary,GBF_CY_GB_74,Biofuel production
Goal B,Maximum fish catch potential,complementary,GBF_CY_GB_75,Maximum fish catch potential
Goal B,Population involved in hunting and gathering,complementary,GBF_CY_GB_76,Population involved in hunting and gathering
Goal B,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",complementary,GBF_CY_GB_77,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale"
Goal B,Forestry Production & Trade (Wood Fuel),complementary,GBF_CY_GB_78,Forestry Production & Trade (Wood Fuel)
Goal B,Trends in the legal trade of medicinal plants,complementary,GBF_CY_GB_79,Trends in the legal trade of medicinal plants
Goal B,Visitor management assessment,complementary,GBF_CY_GB_80,Visitor management assessment
Goal B,Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves,complementary,GBF_CY_GB_81,Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves
